report_time,facility_name,wait_time,times_unavailable
2026-08-01 01:00:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 01:00:00.000000,Peter Lougheed Centre,474,0
2026-08-01 01:00:00.000000,Red Deer Regional Hospital,144,0
2026-08-01 01:00:00.000000,Rockyview General Hospital,392,0
2026-08-01 01:00:00.000000,Royal Alexandra Hospital,376,0
2026-08-01 01:00:00.000000,Sheldon M. Chumir Centre,351,0
2026-08-01 01:00:00.000000,South Calgary Health Centre,,0
2026-08-01 01:00:00.000000,South Health Campus,365,0
2026-08-01 01:00:00.000000,Stollery Children's Hospital,159,0
2026-08-01 01:00:00.000000,Strathcona Community Hospital,232,0
2026-08-01 01:00:00.000000,Sturgeon Community Hospital,418,0
2026-08-01 01:00:00.000000,University of Alberta Hospital,238,0
2026-08-01 01:00:00.000000,WestView Health Centre,481,0
2026-08-01 01:10:00.000000,Airdrie Community Health Centre,342,0
2026-08-01 01:10:00.000000,Alberta Children's Hospital,36,0
2026-08-01 01:10:00.000000,Chinook Regional Hospital,159,0
2026-08-01 01:10:00.000000,Cochrane Community Health Centre,,0
2026-08-01 01:10:00.000000,Devon General Hospital,190,0
2026-08-01 01:10:00.000000,Foothills Medical Centre,377,0
2026-08-01 01:10:00.000000,Fort Sask Community Hospital,250,0
2026-08-01 01:10:00.000000,Grande Prairie Regional Hospital,81,0
2026-08-01 01:10:00.000000,Grey Nuns Community Hospital,376,0
2026-08-01 01:10:00.000000,Innisfail Health Centre,,1
2026-08-01 01:10:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 01:10:00.000000,Leduc Community Hospital,226,0
2026-08-01 01:10:00.000000,Medicine Hat Regional Hospital,350,0
2026-08-01 01:10:00.000000,Misericordia Community Hospital,251,0
2026-08-01 01:10:00.000000,Northeast Community Health Centre,289,0
2026-08-01 01:10:00.000000,Northern Lights Regional Health Centre,31,0
2026-08-01 01:10:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 01:10:00.000000,Peter Lougheed Centre,488,0
2026-08-01 01:10:00.000000,Red Deer Regional Hospital,101,0
2026-08-01 01:10:00.000000,Rockyview General Hospital,347,0
2026-08-01 01:10:00.000000,Royal Alexandra Hospital,381,0
2026-08-01 01:10:00.000000,Sheldon M. Chumir Centre,360,0
2026-08-01 01:10:00.000000,South Calgary Health Centre,,0
2026-08-01 01:10:00.000000,South Health Campus,371,0
2026-08-01 01:10:00.000000,Stollery Children's Hospital,183,0
2026-08-01 01:10:00.000000,Strathcona Community Hospital,220,0
2026-08-01 01:10:00.000000,Sturgeon Community Hospital,370,0
2026-08-01 01:10:00.000000,University of Alberta Hospital,239,0
2026-08-01 01:10:00.000000,WestView Health Centre,447,0
2026-08-01 01:20:00.000000,Airdrie Community Health Centre,352,0
2026-08-01 01:20:00.000000,Alberta Children's Hospital,36,0
2026-08-01 01:20:00.000000,Chinook Regional Hospital,167,0
2026-08-01 01:20:00.000000,Cochrane Community Health Centre,,0
2026-08-01 01:20:00.000000,Devon General Hospital,159,0
2026-08-01 01:20:00.000000,Foothills Medical Centre,374,0
2026-08-01 01:20:00.000000,Fort Sask Community Hospital,250,0
2026-08-01 01:20:00.000000,Grande Prairie Regional Hospital,40,0
2026-08-01 01:20:00.000000,Grey Nuns Community Hospital,353,0
2026-08-01 01:20:00.000000,Innisfail Health Centre,,1
2026-08-01 01:20:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 01:20:00.000000,Leduc Community Hospital,206,0
2026-08-01 01:20:00.000000,Medicine Hat Regional Hospital,345,0
2026-08-01 01:20:00.000000,Misericordia Community Hospital,279,0
2026-08-01 01:20:00.000000,Northeast Community Health Centre,281,0
2026-08-01 01:20:00.000000,Northern Lights Regional Health Centre,31,0
2026-08-01 01:20:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 01:20:00.000000,Peter Lougheed Centre,481,0
2026-08-01 01:20:00.000000,Red Deer Regional Hospital,111,0
2026-08-01 01:20:00.000000,Rockyview General Hospital,355,0
2026-08-01 01:20:00.000000,Royal Alexandra Hospital,371,0
2026-08-01 01:20:00.000000,Sheldon M. Chumir Centre,366,0
2026-08-01 01:20:00.000000,South Calgary Health Centre,,0
2026-08-01 01:20:00.000000,South Health Campus,363,0
2026-08-01 01:20:00.000000,Stollery Children's Hospital,226,0
2026-08-01 01:20:00.000000,Strathcona Community Hospital,233,0
2026-08-01 01:20:00.000000,Sturgeon Community Hospital,380,0
2026-08-01 01:20:00.000000,University of Alberta Hospital,245,0
2026-08-01 01:20:00.000000,WestView Health Centre,412,0
2026-08-01 01:30:00.000000,Airdrie Community Health Centre,386,0
2026-08-01 01:30:00.000000,Alberta Children's Hospital,36,0
2026-08-01 01:30:00.000000,Chinook Regional Hospital,173,0
2026-08-01 01:30:00.000000,Cochrane Community Health Centre,,0
2026-08-01 01:30:00.000000,Devon General Hospital,159,0
2026-08-01 01:30:00.000000,Foothills Medical Centre,395,0
2026-08-01 01:30:00.000000,Fort Sask Community Hospital,250,0
2026-08-01 01:30:00.000000,Grande Prairie Regional Hospital,40,0
2026-08-01 01:30:00.000000,Grey Nuns Community Hospital,307,0
2026-08-01 01:30:00.000000,Innisfail Health Centre,,1
2026-08-01 01:30:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 01:30:00.000000,Leduc Community Hospital,185,0
